Model,Threshold,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,Default (0.5),0.1325085705768371,0.6126809097174363,0.2178921568627451,0.7740215864085701
Logistic Regression,Optimized (0.871),0.28,0.1543762922122674,0.19902265659706797,0.7740215864085701
Random Forest,Default (0.5),0.33925049309664695,0.3556168159889731,0.3472409152086137,0.822796473000432
Random Forest,Optimized (0.773),0.749271137026239,0.17711922811853895,0.28651059085841696,0.822796473000432
Gradient Boosting,Default (0.5),0.33076923076923076,0.32598208132322537,0.3283582089552239,0.8237050119439647
Gradient Boosting,Optimized (0.887),0.7493188010899182,0.18952446588559613,0.3025302530253025,0.8237050119439647
