Model,Optimal_Threshold,Precision_at_Threshold,Recall_at_Threshold
Logistic Regression,0.8711152570581275,0.28,0.1543762922122674
Random Forest,0.7731530853104054,0.749271137026239,0.17711922811853895
Gradient Boosting,0.8873996793053902,0.7493188010899182,0.18952446588559613
