feature
Age
Length_km
height
weight
pps_One day races
pps_GC
pps_Time trial
pps_Sprint
pps_Climber
rdr_PCS Ranking
rdr_UCI World Ranking
rdr_Specials | All Time Ranking
height_imputed
weight_imputed
UCI_total
UCI_avg
UCI_max
UCI_std
UCI_race_count
UCI_elite_status
UCI_points_per_race
Pnt_avg
Pnt_race_count
Pnt_points_per_race
age_at_race
race_tier
rolling_avg_rank_5
rolling_avg_rank_10
recent_top10_count
recent_top10_rate
Stage_Type_RR
Team_encoded
Race_Name_encoded
country_encoded
