Model,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.869364161849711,0.9836494440810988,0.9229825099723842,0.9988681617197623
Random Forest,0.8246187363834423,0.9901896664486592,0.899851411589896,0.9975595448591358
Logistic Regression,0.6735057983942908,0.9875735775016351,0.8008485812781756,0.993944144328454
